antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
"'RefBks', 'ItalArt'","'ItalAtlas', 'ArtBks'",0.02,0.018,0.0165,0.8250000000000001,45.83333333333334,0.01614,5.611428571428574,0.9981447124304268
"'ItalAtlas', 'ArtBks'","'RefBks', 'ItalArt'",0.018,0.02,0.0165,0.9166666666666667,45.833333333333336,0.01614,11.76000000000001,0.996111831142381
"'RefBks', 'ItalArt'","'GeogBks', 'ItalAtlas'",0.02,0.0205,0.0115,0.575,28.048780487804876,0.01109,2.304705882352941,0.9840283939662822
"'GeogBks', 'ItalAtlas'","'RefBks', 'ItalArt'",0.0205,0.02,0.0115,0.5609756097560975,28.048780487804876,0.01109,2.232222222222222,0.9845307055507467
"'ItalAtlas', 'ItalCook'","'RefBks', 'ItalArt'",0.023,0.02,0.0125,0.5434782608695653,27.173913043478265,0.01204,2.146666666666667,0.9858751279426816
"'RefBks', 'ItalArt'","'ItalAtlas', 'ItalCook'",0.02,0.023,0.0125,0.625,27.17391304347826,0.01204,2.6053333333333333,0.9828571428571429
"'ChildBks', 'ItalAtlas'","'RefBks', 'ItalArt'",0.0285,0.02,0.0145,0.5087719298245614,25.438596491228072,0.013930000000000001,1.995,0.9888725220508635
"'RefBks', 'ItalArt'","'ChildBks', 'ItalAtlas'",0.02,0.0285,0.0145,0.725,25.43859649122807,0.013930000000000001,3.5327272727272727,0.9802955665024631
"'RefBks', 'ItalArt'","'ItalAtlas', 'DoItYBks'",0.02,0.019,0.0095,0.475,25.0,0.00912,1.8685714285714285,0.979591836734694
"'ItalAtlas', 'DoItYBks'","'RefBks', 'ItalArt'",0.019,0.02,0.0095,0.5,25.0,0.00912,1.96,0.9785932721712538
